Date,Close/Last,Volume,Open,High,Low
12/23/2024,$435.25,19152520,$436.74,$437.65,$432.83
12/20/2024,$436.60,64263690,$433.11,$443.74,$428.63
12/19/2024,$437.03,22963680,$441.62,$443.1834,$436.32
12/18/2024,$437.39,24444550,$451.32,$452.65,$437.02
12/17/2024,$454.46,22733490,$451.01,$455.29,$449.57
12/16/2024,$451.59,23598830,$447.27,$452.18,$445.28
12/13/2024,$447.27,20177830,$448.435,$451.43,$445.58
12/12/2024,$449.56,20834780,$449.11,$456.1648,$449.11
12/11/2024,$448.99,19200210,$444.05,$450.35,$444.05
12/10/2024,$443.33,18469460,$444.39,$449.62,$441.60
12/09/2024,$446.02,19144390,$442.60,$448.33,$440.50
12/06/2024,$443.57,18821000,$442.30,$446.10,$441.7703
12/05/2024,$442.62,21697780,$437.92,$444.66,$436.171
12/04/2024,$437.42,26009430,$433.03,$439.67,$432.63
12/03/2024,$431.20,18301990,$429.84,$432.47,$427.74
12/02/2024,$430.98,20207220,$421.57,$433.00,$421.31
11/29/2024,$423.46,16271920,$420.09,$424.8849,$417.80
11/27/2024,$422.99,18332440,$425.105,$427.2299,$422.02
11/26/2024,$427.99,23458890,$419.585,$429.0414,$418.85
11/25/2024,$418.79,27691090,$418.38,$421.08,$414.85
