Date,Close/Last,Volume,Open,High,Low
12/23/2024,$139.67,176053500,$136.28,$139.79,$135.1201
12/20/2024,$134.70,306528600,$129.81,$135.28,$128.22
12/19/2024,$130.68,209719200,$131.76,$134.03,$129.55
12/18/2024,$128.91,277444500,$133.86,$136.70,$128.28
12/17/2024,$130.39,259410300,$129.09,$131.59,$126.86
12/16/2024,$132.00,237951100,$134.18,$134.40,$130.42
12/13/2024,$134.25,231514900,$138.94,$139.60,$132.54
12/12/2024,$137.34,159211400,$137.08,$138.44,$135.80
12/11/2024,$139.31,184905200,$137.36,$140.17,$135.21
12/10/2024,$135.07,210020900,$139.01,$141.82,$133.79
12/09/2024,$138.81,189308600,$138.97,$139.95,$137.13
12/06/2024,$142.44,188505600,$144.60,$145.70,$141.31
12/05/2024,$145.06,172621200,$145.11,$146.54,$143.95
12/04/2024,$145.14,231224300,$141.995,$145.79,$140.29
12/03/2024,$140.26,164414000,$138.26,$140.54,$137.95
12/02/2024,$138.63,171682800,$138.83,$140.45,$137.825
11/29/2024,$138.25,141863200,$136.78,$139.35,$136.05
11/27/2024,$135.34,226370900,$135.01,$137.22,$131.80
11/26/2024,$136.92,190287700,$137.70,$139.30,$135.67
11/25/2024,$136.02,344941900,$141.99,$142.05,$135.82
